car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
hyundai i10,2011,petrol,53981,322799,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,2,369854.0,great,True
hyundai i20,2010,petrol,54960,405999,hyderabad,hatchback,manual,sportz 1.2 o,True,hyderabad,telangana,True,ap29,hyundai,i20,1,460096.0,great,True
maruti alto k10,2015,petrol,47133,284099,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts08,maruti,alto k10,1,332560.0,great,True
maruti alto k10,2011,petrol,47298,240399,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap28,maruti,alto k10,2,Unknown,good,True
maruti alto k10,2011,petrol,47330,243899,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap29,maruti,alto k10,2,Unknown,good,True
hyundai i10,2013,petrol,48179,376699,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,1,429169.0,great,True
maruti alto k10,2018,petrol,13446,373899,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts07,maruti,alto k10,1,450557.0,great,True
maruti wagon r stingray,2013,petrol,51081,367499,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap09,maruti,wagon r stingray,2,Unknown,great,True
maruti swift dzire,2016,petrol,31475,538799,hyderabad,sedan,manual,vxi opt,True,hyderabad,telangana,True,ts07,maruti,swift dzire,1,614460.0,great,True
hyundai i10,2012,petrol,46875,347199,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,1,407003.0,great,True
maruti swift dzire,2011,petrol,60423,312099,hyderabad,sedan,manual,lxi 1.2 bs iv,True,hyderabad,telangana,True,ap09,maruti,swift dzire,2,Unknown,great,True
maruti wagon r 1.0,2016,petrol,37667,387299,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ts12,maruti,wagon r 1.0,2,Unknown,great,True
hyundai i10,2008,petrol,63088,259899,hyderabad,hatchback,manual,magna 1.1 irde2,True,hyderabad,telangana,True,ap29,hyundai,i10,2,259999.0,good,True
hyundai i20,2011,petrol,66207,405799,hyderabad,hatchback,manual,asta 1.2,True,hyderabad,telangana,True,ap28,hyundai,i20,1,Unknown,great,True
maruti swift,2014,petrol,36758,452499,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts09,maruti,swift,2,Unknown,great,True
honda brio,2012,petrol,58851,336899,hyderabad,hatchback,manual,1.2 s mt i vtec,True,hyderabad,telangana,True,ap10,honda,brio,2,336999.0,great,True
hyundai i10,2010,petrol,39429,313099,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,1,Unknown,good,True
maruti swift,2012,diesel,66160,382099,hyderabad,hatchback,manual,vdi,True,hyderabad,telangana,True,ap09,maruti,swift,2,Unknown,great,True
maruti eeco,2019,petrol,17802,426499,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts10,maruti,eeco,1,521690.0,great,True
maruti swift dzire,2016,petrol,39724,539399,hyderabad,sedan,manual,vxi 1.2 bs iv,True,hyderabad,telangana,True,ts07,maruti,swift dzire,1,666829.0,great,True
